date,symbol,time_str,side,price,quantity,order_type
20240207,SH.510050,09:30:01.702,buy,2.943,500,limit
20240207,SH.510050,09:30:02.620,buy,2.95,1000,market
20240207,SH.510050,09:30:00.543,buy,2.943,900,limit
20240207,SH.510050,09:30:01.715,sell,2.953,100,limit
20240207,SH.510050,09:30:01.586,sell,2.945,2000,market
20240207,SH.510050,09:30:00.544,buy,2.946,300,limit
20240207,SH.510050,09:30:02.528,sell,2.95,200,limit
20240207,SH.510050,09:30:03.766,buy,2.943,900,limit
20240207,SH.510050,09:30:04.023,sell,2.95,300,limit
20240207,SH.510050,09:30:04.267,buy,2.947,2000,limit
20240207,SH.510050,09:30:04.643,buy,2.943,3000,limit
20240207,SH.510050,09:30:05.190,buy,2.944,100,limit
20240207,SH.510050,09:30:06.200,buy,2.946,500,limit
20240207,SH.510050,09:30:08.564,sell,2.947,5000,market
20240207,SH.510050,09:30:07.629,sell,2.95,100,limit
20240207,SH.510050,09:30:06.530,sell,2.945,5000,market
20240207,SH.510050,09:30:07.797,buy,2.945,400,limit
20240207,SH.510050,09:30:10.381,buy,2.947,2000,limit
20240207,SH.510050,09:30:11.764,sell,2.953,300,limit
20240207,SH.510050,09:30:10.074,sell,2.954,3000,limit
20240207,SH.510050,09:30:10.012,sell,2.947,1500,market
20240207,SH.510050,09:30:10.555,buy,2.949,1500,market
20240207,SH.510050,09:30:13.256,sell,2.953,600,limit
20240207,SH.510050,09:30:13.595,sell,2.946,1500,market
20240207,SH.510050,09:30:12.540,buy,2.942,200,limit
20240207,SH.510050,09:30:12.872,sell,2.95,200,limit
20240207,SH.510050,09:30:14.758,sell,2.946,300,market
20240207,SH.510050,09:30:12.866,buy,2.95,3000,market
20240207,SH.510050,09:30:13.683,sell,2.951,400,limit
20240207,SH.510050,09:30:16.237,sell,2.953,1000,limit
20240207,SH.510050,09:30:15.625,sell,2.952,600,limit
20240207,SH.510050,09:30:15.784,sell,2.95,800,limit
20240207,SH.510050,09:30:20.349,buy,2.934,800,stop
20240207,SH.510050,09:30:18.722,sell,2.954,300,limit
20240207,SH.510050,09:30:18.100,sell,2.955,900,limit
20240207,SH.510050,09:30:19.887,sell,2.949,4000,market
20240207,SH.510050,09:30:18.957,buy,2.948,2000,limit
20240207,SH.510050,09:30:19.401,buy,2.944,3000,limit
20240207,SH.510050,09:30:18.433,buy,2.944,5000,limit
20240207,SH.510050,09:30:18.177,buy,2.946,1200,limit
20240207,SH.510050,09:30:21.978,buy,2.946,600,limit
20240207,SH.510050,09:30:22.718,buy,2.937,100,stop
20240207,SH.510050,09:30:23.628,sell,2.952,300,limit
20240207,SH.510050,09:30:23.300,sell,2.951,100,limit
20240207,SH.510050,09:30:21.042,sell,2.953,1000,limit
20240207,SH.510050,09:30:25.544,buy,2.952,400,market
20240207,SH.510050,09:30:24.941,buy,2.947,600,limit
20240207,SH.510050,09:30:26.516,buy,2.947,2000,limit
20240207,SH.510050,09:30:24.434,buy,2.949,2000,limit
20240207,SH.510050,09:30:28.048,sell,2.953,200,limit
20240207,SH.510050,09:30:27.209,buy,2.935,2000,stop
20240207,SH.510050,09:30:29.009,sell,2.948,4000,market
20240207,SH.510050,09:30:28.411,buy,2.949,200,limit
20240207,SH.510050,09:30:27.856,buy,2.948,1500,limit
20240207,SH.510050,09:30:28.378,sell,2.949,1000,market
20240207,SH.510050,09:30:27.187,buy,2.945,3000,limit
20240207,SH.510050,09:30:27.894,buy,2.949,400,limit
20240207,SH.510050,09:30:31.606,sell,2.949,2500,market
20240207,SH.510050,09:30:32.325,buy,2.94,1200,stop
20240207,SH.510050,09:30:31.625,sell,2.956,200,limit
20240207,SH.510050,09:30:31.108,buy,2.948,5000,limit
20240207,SH.510050,09:30:34.859,buy,2.947,300,limit
20240207,SH.510050,09:30:33.659,sell,2.956,300,limit
20240207,SH.510050,09:30:35.687,sell,2.953,600,limit
20240207,SH.510050,09:30:37.488,sell,2.953,500,limit
20240207,SH.510050,09:30:37.766,sell,2.948,2000,market
20240207,SH.510050,09:30:37.482,sell,2.955,4000,limit
20240207,SH.510050,09:30:38.217,sell,2.956,2500,limit
20240207,SH.510050,09:30:38.687,buy,2.944,500,stop
20240207,SH.510050,09:30:41.002,sell,2.949,1200,market
20240207,SH.510050,09:30:39.902,buy,2.947,500,limit
20240207,SH.510050,09:30:41.404,buy,2.948,900,limit
20240207,SH.510050,09:30:39.120,sell,2.955,400,limit
20240207,SH.510050,09:30:41.617,sell,2.955,600,limit
20240207,SH.510050,09:30:42.703,buy,2.951,300,market
20240207,SH.510050,09:30:42.700,buy,2.952,300,market
20240207,SH.510050,09:30:43.389,sell,2.952,600,limit
20240207,SH.510050,09:30:42.566,sell,2.952,500,limit
20240207,SH.510050,09:30:44.465,buy,2.948,1500,limit
20240207,SH.510050,09:30:42.402,buy,2.952,1000,market
20240207,SH.510050,09:30:43.207,buy,2.948,1200,limit
20240207,SH.510050,09:30:42.559,sell,2.954,100,limit
20240207,SH.510050,09:30:47.294,buy,2.945,1000,limit
20240207,SH.510050,09:30:47.468,sell,2.955,1500,limit
20240207,SH.510050,09:30:46.290,buy,2.951,1500,market
20240207,SH.510050,09:30:45.558,buy,2.948,2000,limit
20240207,SH.510050,09:30:45.097,sell,2.947,1500,market
20240207,SH.510050,09:30:49.752,buy,2.949,400,market
20240207,SH.510050,09:30:48.278,sell,2.947,800,market
20240207,SH.510050,09:30:49.523,sell,2.952,4000,limit
20240207,SH.510050,09:30:52.250,buy,2.942,1500,limit
20240207,SH.510050,09:30:53.812,buy,2.949,200,market
20240207,SH.510050,09:30:53.384,buy,2.945,1000,limit
20240207,SH.510050,09:30:51.515,sell,2.953,800,limit
20240207,SH.510050,09:30:52.637,sell,2.951,100,limit
20240207,SH.510050,09:30:56.427,buy,2.948,200,market
20240207,SH.510050,09:30:55.987,buy,2.948,600,market
20240207,SH.510050,09:30:56.986,sell,2.946,800,market
20240207,SH.510050,09:30:56.267,sell,2.953,200,limit
20240207,SH.510050,09:30:54.037,buy,2.946,500,limit
20240207,SH.510050,09:30:56.548,buy,2.949,1000,market
20240207,SH.510050,09:30:56.037,sell,2.949,1000,limit
20240207,SH.510050,09:30:57.183,sell,2.96,400,stop
20240207,SH.510050,09:30:59.937,buy,2.942,3000,limit
20240207,SH.510050,09:30:59.666,buy,2.943,2500,limit
20240207,SH.510050,09:30:59.535,buy,2.942,1000,limit
20240207,SH.510050,09:30:58.589,sell,2.952,400,limit
20240207,SH.510050,09:30:59.561,buy,2.945,1200,limit
20240207,SH.510050,09:30:57.790,sell,2.963,300,stop
20240207,SH.510050,09:30:59.347,buy,2.945,300,limit
20240207,SH.510050,09:31:01.490,buy,2.945,1000,limit
20240207,SH.510050,09:31:01.011,buy,2.946,500,limit
20240207,SH.510050,09:31:02.968,sell,2.947,3000,market
20240207,SH.510050,09:31:01.790,sell,2.953,1500,limit
20240207,SH.510050,09:31:02.340,buy,2.949,200,market
20240207,SH.510050,09:31:05.749,buy,2.946,5000,limit
20240207,SH.510050,09:31:05.839,buy,2.95,300,market
20240207,SH.510050,09:31:04.411,sell,2.952,400,limit
20240207,SH.510050,09:31:03.327,buy,2.943,1000,limit
20240207,SH.510050,09:31:04.749,sell,2.953,2000,limit
20240207,SH.510050,09:31:05.433,buy,2.95,1000,market
20240207,SH.510050,09:31:03.971,sell,2.953,300,limit
20240207,SH.510050,09:31:06.753,buy,2.95,200,market
20240207,SH.510050,09:31:06.160,sell,2.954,1200,limit
20240207,SH.510050,09:31:08.165,sell,2.953,1000,limit
20240207,SH.510050,09:31:07.332,sell,2.953,200,limit
20240207,SH.510050,09:31:08.143,buy,2.947,500,limit
