date,symbol,time_str,price,quantity
20240207,SH.510050,09:30:01.635,2.95,1200
20240207,SH.510050,09:30:03.923,2.95,1500
20240207,SH.510050,09:30:06.172,2.948,1200
20240207,SH.510050,09:30:10.716,2.949,500
20240207,SH.510050,09:30:12.040,2.95,600
20240207,SH.510050,09:30:14.274,2.949,100
20240207,SH.510050,09:30:16.182,2.949,1000
20240207,SH.510050,09:30:16.587,2.949,600
20240207,SH.510050,09:30:15.163,2.949,1000
20240207,SH.510050,09:30:20.070,2.952,500
20240207,SH.510050,09:30:24.432,2.951,900
20240207,SH.510050,09:30:30.604,2.95,900
20240207,SH.510050,09:30:31.350,2.95,5000
20240207,SH.510050,09:30:33.341,2.951,1500
20240207,SH.510050,09:30:34.460,2.95,600
20240207,SH.510050,09:30:41.312,2.949,4000
20240207,SH.510050,09:30:41.613,2.949,500
20240207,SH.510050,09:30:39.345,2.949,200
20240207,SH.510050,09:30:41.468,2.95,600
20240207,SH.510050,09:30:44.186,2.949,500
20240207,SH.510050,09:30:44.172,2.949,4000
20240207,SH.510050,09:30:43.868,2.948,400
20240207,SH.510050,09:30:45.751,2.949,500
20240207,SH.510050,09:30:49.513,2.95,800
20240207,SH.510050,09:30:53.822,2.948,2000
20240207,SH.510050,09:30:56.614,2.949,100
20240207,SH.510050,09:30:58.141,2.948,100
20240207,SH.510050,09:31:00.677,2.949,900
20240207,SH.510050,09:31:02.640,2.949,100
20240207,SH.510050,09:31:03.996,2.951,2400
20240207,SH.510050,09:31:07.988,2.95,500
20240207,SH.510050,09:31:09.857,2.953,1200
20240207,SH.510050,09:31:10.559,2.952,500
20240207,SH.510050,09:31:10.900,2.953,300
20240207,SH.510050,09:31:09.311,2.952,400
20240207,SH.510050,09:31:10.207,2.952,1000
20240207,SH.510050,09:31:12.029,2.953,1200
20240207,SH.510050,09:31:17.878,2.952,2000
20240207,SH.510050,09:31:16.034,2.952,3000
20240207,SH.510050,09:31:20.020,2.952,200
20240207,SH.510050,09:31:19.242,2.951,5000
20240207,SH.510050,09:31:18.732,2.952,1200
20240207,SH.510050,09:31:18.950,2.951,800
20240207,SH.510050,09:31:22.889,2.951,600
20240207,SH.510050,09:31:22.512,2.952,100
20240207,SH.510050,09:31:25.936,2.952,100
20240207,SH.510050,09:31:26.317,2.951,800
20240207,SH.510050,09:31:27.369,2.953,1500
20240207,SH.510050,09:31:28.205,2.952,1000
20240207,SH.510050,09:31:31.271,2.951,300
20240207,SH.510050,09:31:30.100,2.951,1800
20240207,SH.510050,09:31:35.186,2.953,600
20240207,SH.510050,09:31:35.119,2.953,4000
20240207,SH.510050,09:31:38.042,2.952,900
20240207,SH.510050,09:31:43.392,2.953,300
20240207,SH.510050,09:31:43.538,2.953,2500
20240207,SH.510050,09:31:44.284,2.952,4000
20240207,SH.510050,09:31:47.162,2.953,2000
20240207,SH.510050,09:31:48.040,2.952,200
20240207,SH.510050,09:31:51.521,2.953,100
20240207,SH.510050,09:31:51.146,2.953,4000
20240207,SH.510050,09:31:54.665,2.954,2000
20240207,SH.510050,09:31:56.049,2.954,1900
20240207,SH.510050,09:31:57.643,2.953,500
20240207,SH.510050,09:31:58.098,2.953,800
20240207,SH.510050,09:32:00.640,2.953,900
20240207,SH.510050,09:32:00.890,2.953,600
20240207,SH.510050,09:32:02.143,2.954,200
20240207,SH.510050,09:32:05.664,2.955,500
20240207,SH.510050,09:32:05.053,2.955,500
20240207,SH.510050,09:32:06.644,2.955,100
20240207,SH.510050,09:32:07.950,2.955,1000
20240207,SH.510050,09:32:06.207,2.955,400
20240207,SH.510050,09:32:11.196,2.954,300
20240207,SH.510050,09:32:10.480,2.955,300
20240207,SH.510050,09:32:11.793,2.955,100
20240207,SH.510050,09:32:11.339,2.955,300
20240207,SH.510050,09:32:17.079,2.954,100
20240207,SH.510050,09:32:15.643,2.955,600
20240207,SH.510050,09:32:16.617,2.954,200
20240207,SH.510050,09:32:18.292,2.954,4000
20240207,SH.510050,09:32:22.487,2.955,800
20240207,SH.510050,09:32:26.147,2.955,400
20240207,SH.510050,09:32:24.622,2.955,2000
20240207,SH.510050,09:32:25.896,2.955,100
20240207,SH.510050,09:32:25.768,2.955,1200
20240207,SH.510050,09:32:27.231,2.956,300
20240207,SH.510050,09:32:31.528,2.955,4000
20240207,SH.510050,09:32:33.281,2.955,400
20240207,SH.510050,09:32:33.846,2.954,600
20240207,SH.510050,09:32:34.975,2.954,2000
20240207,SH.510050,09:32:33.548,2.954,100
20240207,SH.510050,09:32:36.008,2.955,100
20240207,SH.510050,09:32:38.823,2.954,800
20240207,SH.510050,09:32:40.076,2.955,800
20240207,SH.510050,09:32:43.859,2.956,400
20240207,SH.510050,09:32:44.806,2.956,400
20240207,SH.510050,09:32:44.256,2.956,500
20240207,SH.510050,09:32:45.734,2.956,300
20240207,SH.510050,09:32:47.578,2.957,200
20240207,SH.510050,09:32:50.758,2.959,1100
20240207,SH.510050,09:32:53.388,2.958,400
20240207,SH.510050,09:32:55.028,2.957,5000
20240207,SH.510050,09:32:58.142,2.957,600
20240207,SH.510050,09:32:58.826,2.956,200
20240207,SH.510050,09:32:59.922,2.957,1500
20240207,SH.510050,09:33:02.361,2.955,1200
20240207,SH.510050,09:33:00.881,2.955,200
20240207,SH.510050,09:33:05.264,2.956,200
20240207,SH.510050,09:33:03.878,2.955,1700
20240207,SH.510050,09:33:07.458,2.955,500
20240207,SH.510050,09:33:11.908,2.957,100
20240207,SH.510050,09:33:10.687,2.957,1000
20240207,SH.510050,09:33:09.700,2.956,1500
20240207,SH.510050,09:33:14.670,2.956,1000
20240207,SH.510050,09:33:13.428,2.956,2200
20240207,SH.510050,09:33:17.215,2.959,300
20240207,SH.510050,09:33:20.616,2.957,800
20240207,SH.510050,09:33:18.370,2.957,600
20240207,SH.510050,09:33:22.492,2.959,1000
20240207,SH.510050,09:33:26.336,2.958,1000
20240207,SH.510050,09:33:26.259,2.958,500
20240207,SH.510050,09:33:24.367,2.959,1500
20240207,SH.510050,09:33:27.116,2.961,1000
20240207,SH.510050,09:33:27.668,2.96,3000
20240207,SH.510050,09:33:30.226,2.961,300
20240207,SH.510050,09:33:32.443,2.961,800
20240207,SH.510050,09:33:30.409,2.962,600
20240207,SH.510050,09:33:31.214,2.961,1000
20240207,SH.510050,09:33:35.161,2.962,4000
20240207,SH.510050,09:33:36.474,2.961,800
20240207,SH.510050,09:33:36.201,2.962,500
20240207,SH.510050,09:33:40.267,2.961,1200
20240207,SH.510050,09:33:43.486,2.961,200
20240207,SH.510050,09:33:44.057,2.961,600
20240207,SH.510050,09:33:44.052,2.961,2500
20240207,SH.510050,09:33:47.442,2.962,400
20240207,SH.510050,09:33:47.838,2.961,1500
20240207,SH.510050,09:33:49.643,2.961,200
20240207,SH.510050,09:33:48.686,2.962,1300
20240207,SH.510050,09:33:52.851,2.962,2000
20240207,SH.510050,09:33:53.283,2.962,500
20240207,SH.510050,09:33:55.487,2.961,1000
20240207,SH.510050,09:33:54.709,2.962,4000
20240207,SH.510050,09:34:01.166,2.961,1500
20240207,SH.510050,09:34:00.519,2.961,1000
20240207,SH.510050,09:34:03.355,2.96,3000
20240207,SH.510050,09:34:05.270,2.961,200
20240207,SH.510050,09:34:05.287,2.96,1100
20240207,SH.510050,09:34:06.539,2.959,800
20240207,SH.510050,09:34:10.831,2.96,5000
20240207,SH.510050,09:34:11.379,2.959,600
20240207,SH.510050,09:34:12.898,2.96,4000
20240207,SH.510050,09:34:14.407,2.96,300
20240207,SH.510050,09:34:15.561,2.958,1200
20240207,SH.510050,09:34:17.554,2.959,700
20240207,SH.510050,09:34:25.933,2.958,2000
20240207,SH.510050,09:34:26.362,2.958,900
20240207,SH.510050,09:34:26.690,2.959,1500
20240207,SH.510050,09:34:30.400,2.96,1000
20240207,SH.510050,09:34:34.865,2.959,2500
20240207,SH.510050,09:34:35.312,2.959,900
20240207,SH.510050,09:34:36.636,2.961,600
20240207,SH.510050,09:34:38.076,2.961,1500
20240207,SH.510050,09:34:37.777,2.961,800
20240207,SH.510050,09:34:39.371,2.961,1500
20240207,SH.510050,09:34:44.523,2.959,4000
20240207,SH.510050,09:34:42.298,2.959,1500
20240207,SH.510050,09:34:44.812,2.959,400
20240207,SH.510050,09:34:43.562,2.959,200
20240207,SH.510050,09:34:50.560,2.959,1000
20240207,SH.510050,09:34:51.224,2.959,2000
20240207,SH.510050,09:34:51.922,2.959,800
20240207,SH.510050,09:34:55.454,2.959,4000
20240207,SH.510050,09:34:55.309,2.958,600
20240207,SH.510050,09:34:57.736,2.96,600
20240207,SH.510050,09:35:01.385,2.959,1000
